combination,trials_ok
"922.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 31/40"
"922.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 18/40"
"922.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 10/40"
"922.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 31/40"
"922.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 31/40"
"923.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 0/40"
"923.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"923.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 20/40"
"923.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 29/40"
"923.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 16/40"
"923.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 4/40"
"923.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"923.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 33/40"
"923.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 4/40"
"923.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 3/40"
"923.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 24/40"
"923.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 30/40"
"923.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 12/40"
"923.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 13/40"
"923.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 19/40"
"923.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 21/40"
